,repo,issues_opened,issues_closed,total_issues,pulls_opened,pulls_closed,total_pulls,n_commits,additions,deletions,total_changes
0,happi,2,0,54,1,0,3,8,87.0,253.0,340.0
1,pcds-recipes,0,0,0,0,0,0,0,0.0,0.0,0.0
2,pcdsdevices,5,0,173,4,0,8,31,2398.0,5224.0,7622.0
3,lightpath,2,0,18,0,0,0,5,51.0,135.0,186.0
4,pswalker,0,0,8,0,0,0,0,0.0,0.0,0.0
5,hxrsnd,0,0,27,0,0,0,0,0.0,0.0,0.0
6,archapp,0,0,3,0,0,0,0,0.0,0.0,0.0
7,transfocate,0,0,14,0,0,3,33,987.0,5367.0,6354.0
8,lcls-plc-xrt-optics,0,0,9,0,0,1,12,405053.0,177482.0,582535.0
9,skywalker-docs,0,0,0,0,0,0,0,0.0,0.0,0.0
10,QDarkStyleSheet,0,0,0,0,0,0,0,0.0,0.0,0.0
11,roadrunner,0,0,0,0,0,0,0,0.0,0.0,0.0
12,typhos,1,0,119,0,0,6,6,1054.0,24.0,1078.0
13,engineering_tools,1,0,13,0,0,3,13,1310.0,855.0,2165.0
14,pcds-envs,2,0,29,0,0,0,82,2389.0,1839.0,4228.0
15,cookiecutter-pcds-python,0,0,6,0,0,0,0,0.0,0.0,0.0
16,pytmc,0,0,35,0,0,0,36,8441.0,12751.0,21192.0
17,hutch-python,4,0,60,0,0,2,8,137.0,129.0,266.0
18,pcdshub.github.io,0,0,2,0,0,0,0,0.0,0.0,0.0
19,krtc,1,0,1,1,0,1,27,746.0,5790.0,6536.0
20,psdm_qs_cli,1,0,1,0,0,0,24,740.0,5814.0,6554.0
21,mfx,0,0,0,0,0,0,0,0.0,0.0,0.0
22,device_config,0,0,12,0,0,2,0,0.0,0.0,0.0
23,SebastianSlackBot,0,0,1,0,0,0,0,0.0,0.0,0.0
24,pcdsdaq,1,0,35,0,0,0,39,6416.0,5510.0,11926.0
25,nabs,1,0,20,1,0,2,4,56.0,112.0,168.0
26,Bug-Reports-and-Requests,0,0,34,0,0,0,0,0.0,0.0,0.0
27,tstpython,0,0,1,0,0,0,0,0.0,0.0,0.0
28,elog,0,0,1,0,0,0,4,6.0,2.0,8.0
29,sxr,0,0,0,0,0,0,0,0.0,0.0,0.0
30,cxi,0,0,1,0,0,0,0,0.0,0.0,0.0
31,lcls-twincat-general,0,0,18,0,0,0,0,0.0,0.0,0.0
32,lcls-plc-sample-delivery-system,0,0,12,0,0,0,5,49282.0,4188.0,53470.0
33,xcs,0,0,1,0,0,0,0,0.0,0.0,0.0
34,auto_monochromator,0,0,0,0,0,0,0,0.0,0.0,0.0
35,pmgr,0,0,0,0,0,0,59,6184.0,17464.0,23648.0
36,time_zero,0,0,0,0,0,0,0,0.0,0.0,0.0
37,MPS,0,0,0,0,0,0,1,2.0,0.0,2.0
38,mec,0,0,4,0,0,0,0,0.0,0.0,0.0
39,xpp,0,0,0,0,0,0,2,41872.0,302.0,42174.0
40,lcls-twincat-vacuum-old,0,0,0,0,0,0,0,0.0,0.0,0.0
41,SDS_test,0,0,0,0,0,0,0,0.0,0.0,0.0
42,sim_beamline,0,0,0,0,0,0,0,0.0,0.0,0.0
43,lcls-twincat-vacuum-system-simulator,0,0,0,0,0,0,0,0.0,0.0,0.0
44,amo,0,0,0,0,0,0,0,0.0,0.0,0.0
45,jet_tracking,0,0,4,0,0,0,0,0.0,0.0,0.0
46,lucid,2,0,25,0,0,0,3,369.0,2574.0,2943.0
47,lcls-twincat-vacuum-sim,0,0,0,0,0,0,1,3.0,3.0,6.0
48,lcls-twincat-vacuum,1,0,21,1,0,1,5,945.0,394.0,1339.0
49,pcdswidgets,1,0,7,0,0,0,2,4.0,0.0,4.0
50,tc-release,0,0,9,0,0,0,23,708.0,4880.0,5588.0
51,las,0,0,1,0,0,0,0,0.0,0.0,0.0
52,lcls-naming-czar,0,0,3,0,0,2,0,0.0,0.0,0.0
53,lcls-plc-vhs-01,0,0,0,0,0,0,1,4.0,8.0,12.0
54,ads-ioc,1,0,10,0,0,0,2,2.0,2.0,4.0
55,lcls-plc-dev-pmps,0,0,2,0,0,0,1,2.0,2.0,4.0
56,adviewer,0,0,4,0,0,0,0,0.0,0.0,0.0
57,Product-Issue-Tracker,0,0,0,0,0,0,0,0.0,0.0,0.0
58,lcls-twincat-motion,1,0,65,1,0,1,4,30741.0,11913.0,42654.0
59,twincat-ads,0,0,7,0,0,0,0,0.0,0.0,0.0
60,ADS-IOC-Example,0,0,0,0,0,0,1,2.0,0.0,2.0
61,ADS-IOC-Reference,0,0,0,0,0,0,1,2.0,0.0,2.0
62,motor_watch,0,0,0,0,0,0,0,0.0,0.0,0.0
63,mba_templates,0,0,0,0,0,0,0,0.0,0.0,0.0
64,tcparse,0,0,0,0,0,0,0,0.0,0.0,0.0
65,tc_mca_std_lib,0,0,0,0,0,0,0,0.0,0.0,0.0
66,twincat-motion-meta,0,0,0,0,0,0,0,0.0,0.0,0.0
67,lcls-plc-template-vacuum,0,0,0,0,0,0,1,3.0,3.0,6.0
68,lcls-plc-kfe-gmd-vac,0,0,1,0,0,0,0,0.0,0.0,0.0
69,lcls-plc-kfe-xgmd-vac,0,0,2,0,0,0,0,0.0,0.0,0.0
70,lcls-twincat-common-components,1,0,15,0,0,0,1,12.0,7.0,19.0
71,ADS,0,0,0,0,0,0,0,0.0,0.0,0.0
72,ethercatmc,0,0,0,0,0,0,0,0.0,0.0,0.0
73,ess-motor,0,0,0,0,0,0,0,0.0,0.0,0.0
74,lcls-twincat-pmps,1,0,18,0,0,1,0,0.0,0.0,0.0
75,ads-ioc-docker,0,0,0,0,0,0,0,0.0,0.0,0.0
76,pytmc-docker,0,0,0,0,0,0,0,0.0,0.0,0.0
77,ads-deploy,0,0,12,0,0,0,0,0.0,0.0,0.0
78,lcls-plc-template-twincat-project,1,0,1,0,0,0,3,9.0,6.0,15.0
79,lcls-plc-lfe-motion,0,0,11,0,0,0,0,0.0,0.0,0.0
80,lcls-plc-dev-pmps-subsystem,0,0,1,0,0,0,0,0.0,0.0,0.0
81,lcls-plc-kfe-vac,0,0,2,0,0,1,0,0.0,0.0,0.0
82,pcds-pmps-forwarder,0,0,0,0,0,0,0,0.0,0.0,0.0
83,pcds-ci-helpers,6,0,24,2,0,2,15,44.0,22.0,66.0
84,axilon_automation_docker,0,0,0,0,0,0,0,0.0,0.0,0.0
85,lcls-twincat-vacuum-serialdrivers,0,0,2,0,0,0,0,0.0,0.0,0.0
86,lcls-twincat-optics,0,0,4,0,0,0,8,84958.0,620.0,85578.0
87,lcls-plc-lfe-optics,0,0,5,0,0,0,8,123313.0,3351.0,126664.0
88,pmps-ui,0,0,14,0,0,1,0,0.0,0.0,0.0
89,lcls-plc-lfe-motion-kmono,0,0,0,0,0,0,0,0.0,0.0,0.0
90,lcls-plc-test-ads,0,0,0,0,0,0,0,0.0,0.0,0.0
91,lcls-plc-test-old-dev-arbiter,0,0,0,0,0,0,1,2.0,2.0,4.0
92,epics-pypdb,0,0,0,0,0,0,0,0.0,0.0,0.0
93,lcls-plc-lfe-vac,0,0,1,0,0,0,0,0.0,0.0,0.0
94,mks500-configurator,0,0,0,0,0,0,0,0.0,0.0,0.0
95,recordits,0,0,3,0,0,0,0,0.0,0.0,0.0
96,pcdsutils,0,0,13,0,0,1,2,2.0,0.0,2.0
97,lcls-plc-kfe-motion,0,0,5,0,0,0,2,561.0,679.0,1240.0
98,lcls-plc-test-m2k4-m3k4,0,0,0,0,0,0,0,0.0,0.0,0.0
